Rank	Beauty Coefficient	Author(s)	Title	Publication Year	Awakening Year	Journal
1	1722.3	Clarence Zener	Interaction between the d-Shells in the Transition Metals. II. Ferromagnetic Compounds of Manganese with Perovskite Structure	1951	1994	Physical Review
2	1419.2	A. Einstein; B. Podolsky; N. Rosen	Can Quantum-Mechanical Description of Physical Reality Be Considered Complete?	1935	1987	Physical Review
3	1348.3	P. W. Anderson; H. Hasegawa	Considerations on Double Exchange	1955	1994	Physical Review
4	1106.8	E. O. Wollan; W. C. Koehler	Neutron Diffraction Study of the Magnetic Properties of the Series of Perovskite-Type Compounds [(1-x)La, xCa]MnO_{3}	1955	1994	Physical Review
5	1086.1	P. R. Wallace	The Band Theory of Graphite	1947	2004	Physical Review
6	841.5	P. -G. de Gennes	Effects of Double Exchange in Magnetic Crystals	1960	1994	Physical Review
7	824.9	Peter Fulde; Richard A. Ferrell	Superconductivity in a Strong Spin-Exchange Field	1964	1998	Physical Review
8	670.4	John B. Goodenough	Theory of the Role of Covalence in the Perovskite-Type Manganites [La, M(II)]MnO_{3}	1955	1994	Physical Review
9	624.5	G. Dresselhaus	Spin-Orbit Coupling Effects in Zinc Blende Structures	1955	2002	Physical Review
10	581.7	W. H. Meiklejohn; C. P. Bean	New Magnetic Anisotropy	1956	1995	Physical Review
11	477.4	Hartland S. Snyder	Quantized Space-Time	1947	1999	Physical Review
12	467.7	Lewi Tonks	The Complete Equation of State of One, Two and Three-Dimensional Gases of Hard Elastic Spheres	1936	1998	Physical Review
13	452.5	Robert Karplus; J. M. Luttinger	Hall Effect in Ferromagnetics	1954	2002	Physical Review
14	444.0	Francis Birch	Finite Elastic Strain of Cubic Crystals	1947	1999	Physical Review
15	413.6	J. W. McClure	Diamagnetism of Graphite	1956	2005	Physical Review
16	404.3	J. R. Oppenheimer; G. M. Volkoff	On Massive Neutron Cores	1939	1996	Physical Review
17	397.7	Richard C. Tolman	Static Solutions of Einstein's Field Equations for Spheres of Fluid	1939	1996	Physical Review
18	387.2	P. W. ANDERSON; Y. B. KIM	Hard Superconductivity: Theory of the Motion of Abrikosov Flux Lines	1964	1987	Reviews of Modern Physics
19	377.1	C. P. Bean	Magnetization of Hard Superconductors	1962	1986	Physical Review Letters
20	365.3	A. M. Clogston	Upper Limit for the Critical Field in Hard Superconductors	1962	1996	Physical Review Letters
21	365.0	D. M. Eagles	Possible Pairing without Superconductivity at Low Carrier Concentrations in Bulk and Thin-Film Superconducting Semiconductors	1969	2001	Physical Review
22	362.4	H. A. Bethe	Theory of Diffraction by Small Holes	1944	1993	Physical Review
23	360.1	W. H. Meiklejohn; C. P. Bean	New Magnetic Anisotropy	1957	1995	Physical Review
24	338.4	William Fuller Brown	Thermal Fluctuations of a Single-Domain Particle	1963	1990	Physical Review
25	338.1	John F. Clauser; Michael A. Horne; Abner Shimony; Richard A. Holt	Proposed Experiment to Test Local Hidden-Variable Theories	1969	1997	Physical Review Letters
26	336.9	E. M. Purcell; H. C. Torrey; R. V. Pound	Resonance Absorption by Nuclear Magnetic Moments in a Solid	1946	2004	Physical Review
27	320.1	CHARLES P. BEAN	Magnetization of High-Field Superconductors	1964	1986	Reviews of Modern Physics
28	316.8	C. Zener	Interaction Between the d Shells in the Transition Metals	1951	1994	Physical Review
29	305.8	Gordon W. Semenoff	Condensed-Matter Simulation of a Three-Dimensional Anomaly	1984	2005	Physical Review Letters
30	303.5	J. C. Slonczewski; P. R. Weiss	Band Structure of Graphite	1958	2004	Physical Review
31	301.9	Lars Onsager	Reciprocal Relations in Irreversible Processes. II.	1931	1991	Physical Review
32	299.1	Kerson Huang; C. N. Yang	Quantum-Mechanical Many-Body Problem with Hard-Sphere Interaction	1957	1995	Physical Review
33	295.5	John Zeleny	Instability of Electrified Liquid Surfaces	1917	2006	Physical Review
