Rank	Beauty Coefficient	Author(s)	Title	Publication Year	Awakening Year	Journal
1	11600.0	FREUNDLICH, H	concerning adsorption in solutions	1906	2002	ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE--STOCHIOMETRIE UND VERWANDTSCHAFTSLEHRE
2	10769.1	HUMMERS, WS; OFFEMAN, RE	preparation of graphitic oxide	1958	2007	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
3	5923.0	PATTERSON, AL	the scherrer formula for x-ray particle size determination	1939	2004	PHYSICAL REVIEW
4	5167.6	BAXTER, S; CASSIE, ABD	wettability of porous surfaces	1944	2002	TRANSACTIONS OF THE FARADAY SOCIETY
5	4273.1	STEVENSON, PC; HILLIER, J; TURKEVICH, J	a study of the nucleation and growth processes in the synthesis of colloidal gold	1951	1997	DISCUSSIONS OF THE FARADAY SOCIETY
6	3978.4	PEARSON, K	on lines and planes of closest fit to systems of points in space	1901	2002	PHILOSOPHICAL MAGAZINE
7	3892.5	STONEY, GG	the tension of metallic films deposited by electrolysis	1909	1989	PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON SERIES A-CONTAINING PAPERS OF A MATHEMATICAL AND PHYSICAL CHARACTER
8	3559.9	PICKERING, SU	emulsions	1907	1998	JOURNAL OF THE CHEMICAL SOCIETY
9	2962.5	WENZEL, RN	resistance of solid surfaces to wetting by water	1936	2003	INDUSTRIAL AND ENGINEERING CHEMISTRY
10	2736.2	WILSON, EB	probable inference, the law of succession, and statistical inference	1927	1999	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION
11	2671.3	LANGMUIR, I	the constitution and fundamental properties of solids and liquids part i solids	1916	2003	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
12	2584.1	MOLLER, C; PLESSET, MS	note on an approximation treatment for many-electron systems	1934	1982	PHYSICAL REVIEW
13	2573.2	PUGH, SF	relations between the elastic moduli and the plastic properties of polycrystalline pure metals	1954	2005	PHILOSOPHICAL MAGAZINE
14	2258.3	ROSEN, N; EINSTEIN, A; PODOLSKY, B	can quantum-mechanical description of physical reality be considered complete?	1935	1994	PHYSICAL REVIEW
15	2183.5	WASHBURN, EW	the dynamics of capillary flow	1921	1995	PHYSICAL REVIEW
16	2127.7	VOGEL, H	the temperature dependence law of the viscosity of fluids	1921	1990	PHYSIKALISCHE ZEITSCHRIFT
17	2089.6	RAMSDEN, W	"separation of solids in the surface-layers of solutions and 'suspensions' (observations on surface-membranes, bubbles, emulsions, and mechanical coagulation). preliminary account."	1903	2000	PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON
18	2068.5	LANGMUIR, I	the adsorption of gases on plane surfaces of glass, mica and platinum	1918	1998	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
19	1953.6	RICE, SA; THOMAS, CA; REICHMANN, ME; DOTY, P	a further examination of the molecular weight and size of desoxypentose nucleic acid	1954	2000	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
20	1947.0	HYERS, DH	on the stability of the linear functional equation	1941	1997	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
21	1909.0	MANN, HB	nonparametric tests against trend	1945	2003	ECONOMETRICA
22	1908.3	BLOIS, MS	antioxidant determinations by the use of a stable free radical	1958	1999	NATURE
23	1905.4	KLEIN, O	the quantum theory and five-dimensional relativity theory	1926	1977	ZEITSCHRIFT FUR PHYSIK
24	1901.2	STROOP, JR	studies of interference in serial verbal reactions	1935	1987	JOURNAL OF EXPERIMENTAL PSYCHOLOGY
25	1893.2	KAPLAN, EL; MEIER, P	nonparametric-estimation from incomplete observations	1958	1980	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION
26	1833.6	WALLACE, PR	the band theory of graphite	1947	2005	PHYSICAL REVIEW
27	1792.3	DICE, LR	measures of the amount of ecologic association between species	1945	1990	ECOLOGY
28	1760.2	FISHER, RA	on the interpretation of x(2) from contingency tables, and the calculation of p	1922	2006	JOURNAL OF THE ROYAL STATISTICAL SOCIETY
